id,url
au0,http://dbpedia.org/resource/%C3%83%C2%85sne_Seierstad
au1,http://dbpedia.org/resource/50_Cent
au2,http://dbpedia.org/resource/A._J._Jacobs
au3,http://dbpedia.org/resource/Aaidh_ibn_Abdullah_al-Qarni
au4,http://dbpedia.org/resource/Aaron_Sprinkle
au5,http://dbpedia.org/resource/Abbie_Hoffman
au6,http://dbpedia.org/resource/Adam_Bertocci
au7,http://dbpedia.org/resource/Adam_Mansbach
au8,http://dbpedia.org/resource/Adeline_Yen_Mah
au9,http://dbpedia.org/resource/Adolf_Hitler
au10,http://dbpedia.org/resource/Aesop
au11,http://dbpedia.org/resource/Agatha_Christie
au12,http://dbpedia.org/resource/Ahmad_Faraz
au13,http://dbpedia.org/resource/Ahmad_Fuadi
au14,http://dbpedia.org/resource/Ai_Yazawa
au15,http://dbpedia.org/resource/Aiwass
au16,http://dbpedia.org/resource/Aja_Monet
au17,http://dbpedia.org/resource/Akimine_Kamijyo
au18,http://dbpedia.org/resource/Akira_Toriyama
au19,http://dbpedia.org/resource/Al_Franken
au20,http://dbpedia.org/resource/Alan_Dershowitz
au21,http://dbpedia.org/resource/Alan_Greenspan
au22,http://dbpedia.org/resource/Alan_Weisman
au23,http://dbpedia.org/resource/Alastair_Reynolds
au24,http://dbpedia.org/resource/Albert_Camus
au25,http://dbpedia.org/resource/Aldo_Leopold
au26,http://dbpedia.org/resource/Aldous_Huxley
au27,http://dbpedia.org/resource/Aleister_Crowley
au28,http://dbpedia.org/resource/Aleksandr_Solzhenitsyn
au29,http://dbpedia.org/resource/Aleksey_Nikolayevich_Tolstoy
au30,http://dbpedia.org/resource/Alex_Arcadia
au31,http://dbpedia.org/resource/Alex_Flinn
au32,http://dbpedia.org/resource/Alex_Kendrick
au33,http://dbpedia.org/resource/Alex_S%C3%83%C2%A1nchez_%28author%29
au34,http://dbpedia.org/resource/Alexander_Pushkin
au35,http://dbpedia.org/resource/Alexander_the_Great
au36,http://dbpedia.org/resource/Alexandra_Potter
au37,http://dbpedia.org/resource/Alexandre_Dumas
au38,http://dbpedia.org/resource/Alexis_de_Tocqueville
au39,http://dbpedia.org/resource/Alfred_Bester
au40,http://dbpedia.org/resource/Ali_Salama
au41,http://dbpedia.org/resource/Alice_Borchardt
au42,http://dbpedia.org/resource/Alice_Hoffman
au43,http://dbpedia.org/resource/Alice_Sebold
au44,http://dbpedia.org/resource/Alice_Walker
au45,http://dbpedia.org/resource/Alison_Bechdel
au46,http://dbpedia.org/resource/Alison_Goodman
au47,http://dbpedia.org/resource/Allan_Bloom
au48,http://dbpedia.org/resource/Allan_Frewin_Jones
au49,http://dbpedia.org/resource/Allen_Ginsberg
au50,http://dbpedia.org/resource/Ally_Carter
au51,http://dbpedia.org/resource/Ally_Condie
au52,http://dbpedia.org/resource/Alvin_Toffler
au53,http://dbpedia.org/resource/Amal_Abul-Qassem_Donqol
au54,http://dbpedia.org/resource/Amartya_Sen
au55,http://dbpedia.org/resource/Ambrose_Bierce
au56,http://dbpedia.org/resource/Amelia_Atwater-Rhodes
au57,http://dbpedia.org/resource/Amish_Tripathi
au58,http://dbpedia.org/resource/Amitav_Ghosh
au59,http://dbpedia.org/resource/Amy_Tan
au60,http://dbpedia.org/resource/Ana%C3%83%C2%AFs_Nin
au61,http://dbpedia.org/resource/Anchee_Min
au62,http://dbpedia.org/resource/Andre_Norton
au63,http://dbpedia.org/resource/Andrea_Hirata
au64,http://dbpedia.org/resource/Andrew_Clements
au65,http://dbpedia.org/resource/Andrew_van_der_Bijl
au66,http://dbpedia.org/resource/Andrzej_Pilipiuk
au67,http://dbpedia.org/resource/Andy_Griffiths
au68,http://dbpedia.org/resource/Andy_Hertzfeld
au69,http://dbpedia.org/resource/Andy_Smith_%28entrepreneur%29
au70,http://dbpedia.org/resource/Angela_Carter
au71,http://dbpedia.org/resource/Angela_Johnson_%28writer%29
au72,http://dbpedia.org/resource/Angie_Sage
au73,http://dbpedia.org/resource/Angus_Buchan
au74,http://dbpedia.org/resource/Anita_Blake
au75,http://dbpedia.org/resource/Anita_Diamant
au76,http://dbpedia.org/resource/Ann_Brashares
au77,http://dbpedia.org/resource/Ann_M._Martin
au78,http://dbpedia.org/resource/Ann_Rule
au79,http://dbpedia.org/resource/Anna_Godbersen
au80,http://dbpedia.org/resource/Anna_Sewell
au81,http://dbpedia.org/resource/Anne_Bront%C3%83%C2%AB
au82,http://dbpedia.org/resource/Anne_Desclos
au83,http://dbpedia.org/resource/Anne_Fadiman
au84,http://dbpedia.org/resource/Anne_Frank
au85,http://dbpedia.org/resource/Anne_Holm
au86,http://dbpedia.org/resource/Anne_Rice
au87,http://dbpedia.org/resource/Anne_Tyler
au88,http://dbpedia.org/resource/Annette_Curtis_Klause
au89,http://dbpedia.org/resource/Annie_Barrows
au90,http://dbpedia.org/resource/Annie_Proulx
au91,http://dbpedia.org/resource/Ant%C3%B3nio_Lobo_Antunes
au92,http://dbpedia.org/resource/Anthony_Bozza
au93,http://dbpedia.org/resource/Anthony_Burgess
au94,http://dbpedia.org/resource/Anthony_Hope
au95,http://dbpedia.org/resource/Anthony_Horowitz
au96,http://dbpedia.org/resource/Anthony_McAuliffe
au97,http://dbpedia.org/resource/Anthony_Trollope
au98,http://dbpedia.org/resource/Antoine_de_Saint-Exup%C3%83%C2%A9ry
au99,http://dbpedia.org/resource/Anton_LaVey
au100,http://dbpedia.org/resource/Anuja_Chauhan
au101,http://dbpedia.org/resource/Anurag_Mathur
au102,http://dbpedia.org/resource/Apuleius
au103,http://dbpedia.org/resource/Aravind_Adiga
au104,http://dbpedia.org/resource/Ariel_Levy
au105,http://dbpedia.org/resource/Arina_Tanemura
au106,http://dbpedia.org/resource/Arkady_and_Boris_Strugatsky
au107,http://dbpedia.org/resource/Arnold_Lobel
au108,http://dbpedia.org/resource/Arthur_C._Clarke
au109,http://dbpedia.org/resource/Arthur_Conan_Doyle
au110,http://dbpedia.org/resource/Arthur_Golden
au111,http://dbpedia.org/resource/Arthur_Nersesian
au112,http://dbpedia.org/resource/Arthur_Ransome
au113,http://dbpedia.org/resource/Arthur_Schopenhauer
au114,http://dbpedia.org/resource/Arthur_W._Wallander
au115,http://dbpedia.org/resource/Artie_Lange
au116,http://dbpedia.org/resource/Arturo_P%C3%83%C2%A9rez-Reverte
au117,http://dbpedia.org/resource/Arturo_P%C3%A9rez-Reverte
au118,http://dbpedia.org/resource/Arundhati_Roy
au119,http://dbpedia.org/resource/Asa_Earl_Carter
au120,http://dbpedia.org/resource/Ashfaq_Ahmed
au121,http://dbpedia.org/resource/Asra_Nomani
au122,http://dbpedia.org/resource/Audrey_Niffenegger
au123,http://dbpedia.org/resource/Augusten_Burroughs
au124,http://dbpedia.org/resource/Augusto_Cury
au125,http://dbpedia.org/resource/Austin_Grossman
au126,http://dbpedia.org/resource/Avi_%28author%29
au127,http://dbpedia.org/resource/Aya_Kanno
au128,http://dbpedia.org/resource/Ayn_Rand
au129,http://dbpedia.org/resource/Bano_Qudsia
au130,http://dbpedia.org/resource/Barack_Obama
au131,http://dbpedia.org/resource/Barbara_Ehrenreich
au132,http://dbpedia.org/resource/Barbara_Kingsolver
au133,http://dbpedia.org/resource/Barbara_Taylor_Bradford
au134,http://dbpedia.org/resource/Barbara_W._Tuchman
au135,http://dbpedia.org/resource/Barry_Goldwater
au136,http://dbpedia.org/resource/Barry_Lyga
au137,http://dbpedia.org/resource/Bart_D._Ehrman
au138,http://dbpedia.org/resource/Beano_Cook
au139,http://dbpedia.org/resource/Beatrix_Potter
au140,http://dbpedia.org/resource/Belle_de_Jour_%28writer%29
au141,http://dbpedia.org/resource/Ben_Carson
