id,url
gn0,http://dbpedia.org/resource/Absurdist_fiction
gn1,http://dbpedia.org/resource/Action-adventure_game
gn2,http://dbpedia.org/resource/Action_%28fiction%29
gn3,http://dbpedia.org/resource/Action_game
gn4,http://dbpedia.org/resource/Action_role-playing_game
gn5,http://dbpedia.org/resource/Adventure
gn6,http://dbpedia.org/resource/Adventure_Story
gn7,http://dbpedia.org/resource/Adventure_fiction
gn8,http://dbpedia.org/resource/Adventure_game
gn9,http://dbpedia.org/resource/African-American_literature
gn10,http://dbpedia.org/resource/Alchemy_in_art_and_entertainment
gn11,http://dbpedia.org/resource/Alternate_history
gn12,http://dbpedia.org/resource/Animal/Fantasy
gn13,http://dbpedia.org/resource/Anthology
gn14,http://dbpedia.org/resource/Anthropology
gn15,http://dbpedia.org/resource/Apocalyptic_and_post-apocalyptic_fiction
gn16,http://dbpedia.org/resource/Atlas
gn17,http://dbpedia.org/resource/Audiobook
gn18,http://dbpedia.org/resource/Authobiography
gn19,http://dbpedia.org/resource/Autobiographical_novel
gn20,http://dbpedia.org/resource/Autobiography
gn21,http://dbpedia.org/resource/Bangsian_fantasy
gn22,http://dbpedia.org/resource/Beat_Generation
gn23,http://dbpedia.org/resource/Behavioral_economics
gn24,http://dbpedia.org/resource/Bildungsroman
gn25,http://dbpedia.org/resource/Biographical_novel
gn26,http://dbpedia.org/resource/Biography
gn27,http://dbpedia.org/resource/Biology
gn28,http://dbpedia.org/resource/Biopunk
gn29,http://dbpedia.org/resource/Black_comedy
gn30,http://dbpedia.org/resource/Book%3AFinance
gn31,http://dbpedia.org/resource/Category%3AKait%C3%85%C2%8D_anime_and_manga
gn32,http://dbpedia.org/resource/Chabad_philosophy
gn33,http://dbpedia.org/resource/Chick_lit
gn34,http://dbpedia.org/resource/Children%27s_literature
gn35,http://dbpedia.org/resource/Children%27s_literature%2C_Magic_Fantasy
gn36,http://dbpedia.org/resource/Children%27s_music
gn37,http://dbpedia.org/resource/Children%27s_non-fiction_literature
gn38,http://dbpedia.org/resource/Children%27s_poetry
gn39,http://dbpedia.org/resource/Christian
gn40,http://dbpedia.org/resource/Christian_apologetics
gn41,http://dbpedia.org/resource/Christian_devotional_literature
gn42,http://dbpedia.org/resource/Christian_literature
gn43,http://dbpedia.org/resource/Christian_mythology
gn44,http://dbpedia.org/resource/Christian_novel
gn45,http://dbpedia.org/resource/Christianity
gn46,http://dbpedia.org/resource/Classical_music
gn47,http://dbpedia.org/resource/Collectible_card_game
gn48,http://dbpedia.org/resource/Comedy
gn49,http://dbpedia.org/resource/Comedy-drama
gn50,http://dbpedia.org/resource/Comedy_%28drama%29
gn51,http://dbpedia.org/resource/Comedy_film
gn52,http://dbpedia.org/resource/Comic_fantasy
gn53,http://dbpedia.org/resource/Comic_novel
gn54,http://dbpedia.org/resource/Comic_science_fiction
gn55,http://dbpedia.org/resource/Comics
gn56,http://dbpedia.org/resource/Coming_of_age
gn57,http://dbpedia.org/resource/Compendium
gn58,http://dbpedia.org/resource/Conspiracy_fiction
gn59,http://dbpedia.org/resource/Contemporary_fantasy
gn60,http://dbpedia.org/resource/Cookbook
gn61,http://dbpedia.org/resource/Cooking
gn62,http://dbpedia.org/resource/Creative_nonfiction
gn63,http://dbpedia.org/resource/Crime
gn64,http://dbpedia.org/resource/Crime_fiction
gn65,http://dbpedia.org/resource/Culture_of_the_Philippines
gn66,http://dbpedia.org/resource/Cyberpunk
gn67,http://dbpedia.org/resource/Cyberpunk_derivatives
gn68,http://dbpedia.org/resource/D%C3%85%C2%8Djin_soft
gn69,http://dbpedia.org/resource/Dark_fantasy
gn70,http://dbpedia.org/resource/Detective_fiction
gn71,http://dbpedia.org/resource/Diary
gn72,http://dbpedia.org/resource/Documentary_film
gn73,http://dbpedia.org/resource/Drama
gn74,http://dbpedia.org/resource/Dramatic_theory
gn75,http://dbpedia.org/resource/Dystopia
gn76,http://dbpedia.org/resource/Economics
gn77,http://dbpedia.org/resource/Elegy
gn78,http://dbpedia.org/resource/Emotional_intelligence
gn79,http://dbpedia.org/resource/Encyclopedia
gn80,http://dbpedia.org/resource/Energy_medicine
gn81,http://dbpedia.org/resource/Epic_%28genre%29
gn82,http://dbpedia.org/resource/Epic_poetry
gn83,http://dbpedia.org/resource/Epistolary_novel
gn84,http://dbpedia.org/resource/Erotic_literature
gn85,http://dbpedia.org/resource/Erotica
gn86,http://dbpedia.org/resource/Essay
gn87,http://dbpedia.org/resource/Ethics
gn88,http://dbpedia.org/resource/Evangelicalism
gn89,http://dbpedia.org/resource/Experimental_literature
gn90,http://dbpedia.org/resource/Fairy_tale
gn91,http://dbpedia.org/resource/Fairytale_fantasy
gn92,http://dbpedia.org/resource/Family_saga
gn93,http://dbpedia.org/resource/Fantastique
gn94,http://dbpedia.org/resource/Fantasy
gn95,http://dbpedia.org/resource/Fantasy_literature
gn96,http://dbpedia.org/resource/Farce
gn97,http://dbpedia.org/resource/Feminism
gn98,http://dbpedia.org/resource/Feng_shui
gn99,http://dbpedia.org/resource/Fiction
gn100,http://dbpedia.org/resource/Fighting_game
gn101,http://dbpedia.org/resource/Finance
gn102,http://dbpedia.org/resource/Food
gn103,http://dbpedia.org/resource/Frame_story
gn104,http://dbpedia.org/resource/Furry_fandom
